pb_corr,tr_0,tr_1,tr_2,tr_3,tr_4,tr_5,tr_6,tr_7,tr_8,tr_9,tr_10
"[-0.05206250322129176, 0.025053460852993762, 0.011715919689088852, -0.0377880318768494, 0.03790090762920138, -0.008742875019381771, -0.015341064125201663, 0.026322713789939712, -0.016188564687677393, 0.013952282823935225, -0.0652066718343958]",-0.05206250322129176,0.025053460852993762,0.011715919689088852,-0.0377880318768494,0.03790090762920138,-0.008742875019381771,-0.015341064125201663,0.026322713789939712,-0.016188564687677393,0.013952282823935225,-0.0652066718343958
"[0.005145384797355559, 0.0311880317734228, -0.03024834213313438, 0.024402479635851963, -0.04221334465315304, -0.03841660945249697, 0.022475838625870374, -0.008780136764539542, 0.056691223809933355, 0.030747458160869004, 0.08204716008015364]",0.005145384797355559,0.0311880317734228,-0.03024834213313438,0.024402479635851963,-0.04221334465315304,-0.03841660945249697,0.022475838625870374,-0.008780136764539542,0.056691223809933355,0.030747458160869004,0.08204716008015364
"[-0.1579716655299554, 0.19834220293989846, 0.07455216180462945, -0.15176600020800884, 0.06785198649360792, -0.04817457295792368, -0.1680019864294836, 0.10279918822640596, -0.016769030807751325, 0.14943479108985894, -0.15775040041801663]",-0.1579716655299554,0.19834220293989846,0.07455216180462945,-0.15176600020800884,0.06785198649360792,-0.04817457295792368,-0.1680019864294836,0.10279918822640596,-0.016769030807751325,0.14943479108985894,-0.15775040041801663
"[-0.016827357675707446, 0.027156119036287903, -0.04393936016327872, 0.014520758817820122, 0.0059080239790338055, 0.040269720605510345, 0.007621298670874566, 0.04477607616614769, -0.0477692900862732, 0.006874792608667463, -0.033121828427762484]",-0.016827357675707446,0.027156119036287903,-0.04393936016327872,0.014520758817820122,0.0059080239790338055,0.040269720605510345,0.007621298670874566,0.04477607616614769,-0.0477692900862732,0.006874792608667463,-0.033121828427762484
"[-0.01680605516984361, -0.04766680887980664, -0.04847919613079539, 0.017784367518028754, -0.041807451977984196, 0.019684995757254138, 0.045738868129078306, -0.0075385474938738165, -0.04366682659742125, 0.012357468535391047, 0.023249773245401114]",-0.01680605516984361,-0.04766680887980664,-0.04847919613079539,0.017784367518028754,-0.041807451977984196,0.019684995757254138,0.045738868129078306,-0.0075385474938738165,-0.04366682659742125,0.012357468535391047,0.023249773245401114
"[-0.09756774912430856, 0.004301815857559397, -0.004756388796112117, -0.044595767354415436, 0.059246611292603196, -0.0347633263691611, -0.05769423563219056, 0.04318326531854247, 0.008299747183269552, -0.04276476511059388, -0.07629266777438543]",-0.09756774912430856,0.004301815857559397,-0.004756388796112117,-0.044595767354415436,0.059246611292603196,-0.0347633263691611,-0.05769423563219056,0.04318326531854247,0.008299747183269552,-0.04276476511059388,-0.07629266777438543
"[-0.09177515199974198, 0.035370840829967276, 0.041102776951140056, -0.07521916427558094, 0.049719206441212985, -0.04977679425744941, -0.06963111464642943, 0.04070589578555208, 0.008319368900368726, 0.0494675991125243, -0.08646822172000994]",-0.09177515199974198,0.035370840829967276,0.041102776951140056,-0.07521916427558094,0.049719206441212985,-0.04977679425744941,-0.06963111464642943,0.04070589578555208,0.008319368900368726,0.0494675991125243,-0.08646822172000994
"[-0.06971933603625537, 0.06209030125710311, -0.0018793705909748853, 0.004370063323265744, 0.12003624642847119, -0.05778630458086733, -0.06339270193712732, 0.025800406628044344, 0.0557353246050558, 0.027676257605172262, -0.0873529449858856]",-0.06971933603625537,0.06209030125710311,-0.0018793705909748853,0.004370063323265744,0.12003624642847119,-0.05778630458086733,-0.06339270193712732,0.025800406628044344,0.0557353246050558,0.027676257605172262,-0.0873529449858856
"[-0.047049071253877306, -0.08629053055044497, 0.07718954987531211, -0.006395221405382609, -0.02388199970485492, 0.03331106624277684, 0.00484634591276107, -0.0067790261046283135, 0.014385805964384164, 0.014895208397294586, -0.0075986467519192965]",-0.047049071253877306,-0.08629053055044497,0.07718954987531211,-0.006395221405382609,-0.02388199970485492,0.03331106624277684,0.00484634591276107,-0.0067790261046283135,0.014385805964384164,0.014895208397294586,-0.0075986467519192965
"[-0.020326243623878384, 0.06551763057599834, -0.0005153966584248947, 0.00569217762273069, 0.031876576401319856, 0.042117923802754635, -0.055960575642130445, -0.07053602381677701, -0.025096284078621633, 0.06414432863129457, -0.04267110143268532]",-0.020326243623878384,0.06551763057599834,-0.0005153966584248947,0.00569217762273069,0.031876576401319856,0.042117923802754635,-0.055960575642130445,-0.07053602381677701,-0.025096284078621633,0.06414432863129457,-0.04267110143268532
"[0.12211044763719506, -0.0009822755331815244, -0.05445261355353818, 0.05701127742942929, -0.07839136321784562, 0.009895334041578755, 0.06042788201419745, 0.03607303262371807, -0.02981555891061484, 0.043416571839787255, 0.07751571330708065]",0.12211044763719506,-0.0009822755331815244,-0.05445261355353818,0.05701127742942929,-0.07839136321784562,0.009895334041578755,0.06042788201419745,0.03607303262371807,-0.02981555891061484,0.043416571839787255,0.07751571330708065
"[0.014350092656811564, -0.04458758172418391, -0.015193012578417122, 0.059628066617517475, -0.031330488647321415, 0.06138932779561601, 0.07804967459717446, 0.018673608509806178, 0.005481992170706124, -0.09094213721720228, -0.02239789184274791]",0.014350092656811564,-0.04458758172418391,-0.015193012578417122,0.059628066617517475,-0.031330488647321415,0.06138932779561601,0.07804967459717446,0.018673608509806178,0.005481992170706124,-0.09094213721720228,-0.02239789184274791
"[0.005341505347903749, 0.027153364085170776, -0.0296040942673748, -0.030645024819021198, 0.04445060471539596, -0.03885185881336737, -0.03490561440221858, 0.018550045803304105, -0.0468390741349366, 0.06408018251203866, -0.04134204351442235]",0.005341505347903749,0.027153364085170776,-0.0296040942673748,-0.030645024819021198,0.04445060471539596,-0.03885185881336737,-0.03490561440221858,0.018550045803304105,-0.0468390741349366,0.06408018251203866,-0.04134204351442235
"[-0.011544474477673136, 0.05706258493571304, 0.04444915818370489, -0.057191686250344605, 0.0033544573221550647, -0.04033269687126875, -0.07697001098911671, 0.041576307643434916, -0.02535220304339842, 0.0759399629639301, -0.023369968881399257]",-0.011544474477673136,0.05706258493571304,0.04444915818370489,-0.057191686250344605,0.0033544573221550647,-0.04033269687126875,-0.07697001098911671,0.041576307643434916,-0.02535220304339842,0.0759399629639301,-0.023369968881399257
"[0.27844280835889046, -0.4216699939668973, 0.11103049078388949, 0.19387174856598935, -0.01113040279206326, 0.11742109413518673, 0.28993076844224674, -0.19672775067787532, 0.07030145539403451, -0.3369071400330641, 0.07171874129711689]",0.27844280835889046,-0.4216699939668973,0.11103049078388949,0.19387174856598935,-0.01113040279206326,0.11742109413518673,0.28993076844224674,-0.19672775067787532,0.07030145539403451,-0.3369071400330641,0.07171874129711689
"[0.038942409576488035, 0.043442199943469546, -0.0011041794046103247, -0.037929697458303775, -0.01795228660270266, 0.0070680599256271945, -0.018505209772163855, 0.071422486534724, -0.027168050013498674, 0.04760578531378398, 0.06542613478421351]",0.038942409576488035,0.043442199943469546,-0.0011041794046103247,-0.037929697458303775,-0.01795228660270266,0.0070680599256271945,-0.018505209772163855,0.071422486534724,-0.027168050013498674,0.04760578531378398,0.06542613478421351
"[-0.11511935101692544, 0.1610159557650901, -0.043850421668839006, -0.07401401235257894, 0.07011849005051685, 0.059118181415905025, -0.1044200804587018, 0.014861829581309896, -0.015522111654506295, 0.03909799863940556, -0.06770340447318283]",-0.11511935101692544,0.1610159557650901,-0.043850421668839006,-0.07401401235257894,0.07011849005051685,0.059118181415905025,-0.1044200804587018,0.014861829581309896,-0.015522111654506295,0.03909799863940556,-0.06770340447318283
"[-0.08173473147821603, 0.015698240847215154, 0.06336268390716582, -0.0648116482703201, 0.05713940165180146, -0.057217147991885695, -0.03565161996073696, 0.09610477723060717, -0.009760632895059749, 0.08066643483515873, -0.07572407630424091]",-0.08173473147821603,0.015698240847215154,0.06336268390716582,-0.0648116482703201,0.05713940165180146,-0.057217147991885695,-0.03565161996073696,0.09610477723060717,-0.009760632895059749,0.08066643483515873,-0.07572407630424091
"[-0.1084237193756519, -0.021867429509372344, 0.015465224769459062, 0.012885843172963126, -0.019518987945871136, 0.044329171152264424, -0.004556779051223284, 0.07182117361598889, 0.010798749555358714, 0.04488853646641691, 0.042538710872165555]",-0.1084237193756519,-0.021867429509372344,0.015465224769459062,0.012885843172963126,-0.019518987945871136,0.044329171152264424,-0.004556779051223284,0.07182117361598889,0.010798749555358714,0.04488853646641691,0.042538710872165555
"[-0.056697036835169454, 0.07612091265054322, 0.09949490513094192, -0.11421384607023549, 0.04709686453016307, -0.054764221769122476, -0.050995555874850274, 0.0938583120598997, -0.006092529542768378, 0.03308489321410166, -0.15540936526049848]",-0.056697036835169454,0.07612091265054322,0.09949490513094192,-0.11421384607023549,0.04709686453016307,-0.054764221769122476,-0.050995555874850274,0.0938583120598997,-0.006092529542768378,0.03308489321410166,-0.15540936526049848
"[-0.036878553271667995, 0.08069546561239249, -0.04189709750189203, 0.09637414778060227, -0.006263406162625537, 0.1494116687315867, -0.053678626432484416, 0.054703739310649105, -0.06094593331905921, -0.03551519659372407, 0.06393177017862023]",-0.036878553271667995,0.08069546561239249,-0.04189709750189203,0.09637414778060227,-0.006263406162625537,0.1494116687315867,-0.053678626432484416,0.054703739310649105,-0.06094593331905921,-0.03551519659372407,0.06393177017862023
