tags,corr_PC1,corr_PC2,corr_PC3,corr_PC4,corr_PC5,corr_PC6,corr_PC7,corr_PC8,corr_PC9,corr_PC10,corr_PC11,pvalue_PC1,pvalue_PC2,pvalue_PC3,pvalue_PC4,pvalue_PC5,pvalue_PC6,pvalue_PC7,pvalue_PC8,pvalue_PC9,pvalue_PC10,pvalue_PC11
metal,-0.030522241198255494,-0.06903013943049977,0.0297185655978809,-0.0667956247209473,0.038144269561192296,0.0808060131876879,-0.08342880705623443,-0.0006078628742027369,-0.016517471573384325,0.055535087976455885,0.03431649163276536,0.4639326577896219,0.09732097534620535,0.4757878478938838,0.10867189457947198,0.3599825273938018,0.05217598583317413,0.044971721510368656,0.9883653566420849,0.6919026601125919,0.18243572262296606,0.4102345350710509
classical-orchestral,0.0425504435576497,0.023865670629394972,-0.05895868305685398,-0.022782644151628312,-0.02703268297071823,-0.02650000614184734,0.0507140969973363,-0.004744705081346305,-0.05218323365574892,0.010915510094818634,0.059826187120073156,0.30714545183692293,0.5669093906891833,0.1568850272602672,0.5846417888179566,0.5165831184467453,0.5248834288547957,0.22345448473641075,0.9093771945545629,0.2103120803187011,0.7934244714743333,0.15086229697059092
j-rock,-0.015835455896488465,0.008681993367516048,-0.06720866387660146,0.02693895065377284,-0.06690757198593664,-0.025740571993219958,-0.02052013386112959,-0.07197188838126156,0.03473923578516112,0.05830199141084136,-0.050041100278938745,0.704012337849763,0.8350092939504233,0.10649848790324329,0.5180387453818065,0.10807940100695512,0.5368337744489194,0.6224921910433058,0.08384162115958946,0.4044886664522834,0.1615637774810581,0.22966668240609636
anime,-0.01577350636160927,0.025506598875237044,-0.01672200169700158,-0.012119258221711473,0.022538815336454,-0.09972914655202528,0.10498385724215578,-0.08461538558037193,0.013031358629901131,-0.024201660532820253,0.011645415323742032,0.7051160695706867,0.5405428461907312,0.6882861744016517,0.7712450824803375,0.5886691997741381,0.016464946666317114,0.011553328281504535,0.041998389906478036,0.7545616552102015,0.5614609553451892,0.7799546287124861
vocaloid,-0.03621892272692692,0.04981911364667506,0.0006971299523685255,0.08758934029419393,-0.06068343893993863,-0.019430120145001728,-0.02589358382413834,-0.0298375991874765,-0.04495341372599948,0.011777331856965039,-0.023086366405075217,0.3847584514392487,0.23174238981624878,0.9866569117374584,0.03526698511404297,0.14508501415736175,0.6410977295509187,0.5344150686166945,0.47402157236309805,0.2806058895027562,0.7775270954184357,0.5796430482884611
video-game-soundtrack,-0.04702701476218676,0.0339720478056205,-0.031801422405974125,0.00956255393756111,-0.016430156779783316,0.0787885476632129,-0.009270198462620017,-0.006744059821945536,0.0034611138721231684,-0.02271174241500545,-0.05200065626747961,0.25898931112889584,0.41495173088129456,0.4454061660272098,0.8185526337009355,0.6934486963834593,0.0583514585956195,0.8240079619290475,0.8714719839015213,0.9338269410043731,0.5858115806266436,0.21191430705530762
punk,-0.07040357703343351,0.020497337503055522,0.0036022006016775895,-0.028226183295848625,-0.022641094755206086,0.007735003523425894,-0.024004226332062943,0.008712224656038915,-0.012458123014394456,0.037588219739763756,-0.003966612886269077,0.09082697234856214,0.6228789065398965,0.9311360621722673,0.49823504892578346,0.5869782569833356,0.8527880162264481,0.5646595011665625,0.8344430661651874,0.7650340437154194,0.3670331700785695,0.9241895094138974
fitness,0.03864997347600376,0.10611486597004546,-0.07743694851025973,0.02662740336696124,-0.001607696740772567,-0.1423871512267229,-0.01134971550653277,0.018481592232789813,0.11979377060528293,-0.08138790160763706,0.0008925494670186194,0.35364444625521324,0.010684151440170053,0.06281839774576771,0.5228921133270608,0.969234812807454,0.0005962441618968707,0.7854038562238258,0.6574738242138162,0.003924150427491323,0.05049962917831287,0.982917084022161
soul,0.06478060969129487,-0.01472471109736833,-0.011038747928078898,-0.07216903846464665,-0.0017441117638279855,-0.05264502202574099,0.01707270736299352,0.06459210732512696,-0.04662037359287004,-0.039168187086467125,0.0009608052542991611,0.11978079107791843,0.7238943776634268,0.7911457737674278,0.08299505438896553,0.9666258088559538,0.20629867659763784,0.6821015769899381,0.1208638226809159,0.26313504158555734,0.3472230435724934,0.9816109275554983
balanced,-0.11640309060098963,-0.20171665671803357,-0.05050805393842408,0.06453392193838918,0.00019267705299447734,-0.007631151483884657,-0.08876104720104493,0.17386085838016074,-0.09052490707685712,0.002981387451586215,-0.137662317871861,0.0050788039288359324,1.0111954066373775e-06,0.22534352828658394,0.12119966326546701,0.996311997046915,0.8547424452537844,0.03287935934729788,2.6351688873599805e-05,0.029545947861527713,0.9429819908760582,0.0009057587445835175
trance,-0.0196719977334204,0.01302834530781207,0.029406202944242184,-0.007441344973618823,-0.02435253146659579,-0.03258911672202792,-0.029153806918280765,-0.12480379766215297,0.017560916895957464,0.021118682040275057,-0.07015867094279504,0.6369490966037769,0.7546165897041469,0.4804398979039954,0.858316772176657,0.5590226668403551,0.4342103819571745,0.4842168440469225,0.0026492576072996744,0.6735275547129758,0.6123758982170011,0.09195878416182046
comedy-meme,-0.01195896842367977,0.03244230577197119,0.038045034031036165,0.07291848879092448,-0.05081296351382397,-0.018871443888505385,-0.07385865924172627,-0.05440966643087099,0.05762360612864087,-0.015374630503369555,-0.019523265259530524,0.7741881580763382,0.4362846767513605,0.36123456414990657,0.07983974413828232,0.22255207922811632,0.6507226938243206,0.07601973444580977,0.1914733088190243,0.16650664447261254,0.712237434242653,0.6394987910458276
